STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-04-12T02:00:00,31.52,-70.3,,64.6
6584,1864-04-12T04:00:00,31.67,-70.3,,64.6
6584,1864-04-12T06:00:00,31.72,-70.22,,64.6
6584,1864-04-12T08:00:00,31.77,-70.13,,64.6
6584,1864-04-12T09:00:00,31.82,-70.05,,64.6
6584,1864-04-12T10:00:00,31.98,-70,,64.6
6584,1864-04-12T12:00:00,32.13,-69.95,,64.6
6584,1864-04-12T14:00:00,32.23,-70.02,,64.6
6584,1864-04-12T15:00:00,32.3,-70.07,,64.2
6584,1864-04-12T16:00:00,32.35,-70.1,,64.2
6584,1864-04-12T18:00:00,32.45,-70.18,,64.2
6584,1864-04-12T20:00:00,32.57,-70.25,,64.6
6584,1864-04-12T22:00:00,32.67,-70.32,,63.5
6584,1864-04-13T00:00:00,32.78,-70.4,,63.5
6584,1864-04-13T02:00:00,32.87,-70.48,,64.6
6584,1864-04-13T04:00:00,32.95,-70.57,,64.6
6584,1864-04-13T06:00:00,33.02,-70.65,,64.6
6584,1864-04-13T08:00:00,33.1,-70.73,,64.6
6584,1864-04-13T09:00:00,33.15,-70.77,,63.9
6584,1864-04-13T10:00:00,33.18,-70.82,,63.5
6584,1864-04-13T12:00:00,33.27,-70.9,,63.5
6584,1864-04-13T14:00:00,33.4,-70.9,,64.6
6584,1864-04-13T15:00:00,33.48,-70.92,,64.6
6584,1864-04-13T16:00:00,33.55,-70.92,,64.6
6584,1864-04-13T18:00:00,33.7,-70.93,,64.6
6584,1864-04-13T20:00:00,33.87,-70.93,,64.6
6584,1864-04-13T22:00:00,33.98,-70.95,,63.9
6584,1864-04-14T00:00:00,34.13,-70.97,,63.5
6584,1864-04-14T02:00:00,34.25,-70.92,,63.5
6584,1864-04-14T04:00:00,34.37,-70.87,,63.5
6584,1864-04-14T06:00:00,34.5,-70.82,,63.9
6584,1864-04-14T08:00:00,34.62,-70.77,,64.6
6584,1864-04-14T09:00:00,34.67,-70.73,,64.6
62030790,1864-04-14T09:00:00,34.5,-70.5,,63.5
6584,1864-04-14T10:00:00,34.73,-70.72,,64.6
